Titulo,Descripcion,Categoria,Latitud,Longitud,fecha
13075,Colisión vehículo-vehículo,Camioneta,-39,-68,2017-01-05
13076,Colisión vehículo-vehículo,Motocicleta,-39,-68,2017-01-27
13077,Vuelco-despistes,Camión,-39,-69,2017-01-20
13078,Caída del ocupante,Colectivo,-39,-69,2017-01-24
13088,Colisión vehículo-vehículo,Automóvil,-25,-65,2017-01-05
13089,Colisión vehículo-persona,Sin vehiculo,-25,-65,2017-01-02
13090,Colisión vehículo-vehículo,Automóvil,-26,-65,2017-01-10
13092,Colisión vehículo-vehículo,Automóvil,-23,-64,2017-01-15
40137,Colisión vehículo-vehículo,Motocicleta,-28,-62,2022-05-07
40138,Vuelco-despistes,Motocicleta,-28,-64,2022-05-08
40148,Colisión vehículo-persona,Sin vehiculo,-37,-64,2022-11-20
40150,Vuelco-despistes,Motocicleta,-28,-65,2022-06-28
40151,Vuelco-despistes,Automóvil,-30,-64,2022-06-18
40153,Colisión vehículo-persona,Sin vehiculo,-28,-64,2022-06-23
40154,Colisión vehículo-vehículo,Automóvil,-27,-65,2022-06-22
40161,Vuelco-despistes,Motocicleta,-28,-64,2022-06-04
40163,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-06-08
40165,Vuelco-despistes,Motocicleta,-24,-65,2022-07-03
40166,Colisión vehículo-vehículo,Motocicleta,-24,-65,2022-07-04
40168,Colisión vehículo-vehículo,Motocicleta,-25,-65,2022-09-23
40169,Colisión vehículo-persona,Sin vehiculo,-26,-66,2022-09-25
40173,Colisión vehículo-vehículo,Automóvil,-26,-65,2022-10-01
40174,Colisión vehículo-vehículo,Motocicleta,-23,-63,2022-10-02
40179,Vuelco-despistes,Automóvil,-28,-65,2022-07-03
40180,Vuelco-despistes,Motocicleta,-28,-62,2022-07-07
40182,Colisión vehículo-persona,Sin vehiculo,-28,-64,2022-07-09
40183,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-07-09
40184,Vuelco-despistes,Tractor,-27,-64,2022-07-09
40186,Colisión vehículo-vehículo,Motocicleta,-26,-63,2022-07-10
40187,Colisión vehículo-vehículo,Motocicleta,-27,-64,2022-07-10
40192,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-07-15
40193,Colisión vehículo-persona,Motocicleta,-28,-64,2022-07-16
40194,Vuelco-despistes,Motocicleta,-28,-64,2022-07-17
40195,Vuelco-despistes,Motocicleta,-28,-64,2022-07-18
40196,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-07-20
40197,Vuelco-despistes,Automóvil,-26,-63,2022-07-22
40198,Colisión vehículo-vehículo,Automóvil,-27,-64,2022-07-23
40198,Colisión vehículo-vehículo,Automóvil,-27,-64,2022-07-23
40209,Colisión vehículo-vehículo,Motocicleta,-33,-66,2022-03-05
40210,Colisión vehículo-vehículo,Motocicleta,-34,-65,2022-03-05
40214,Colisión vehículo-vehículo,Automóvil,-35,-68,2022-01-05
40214,Colisión vehículo-vehículo,Automóvil,-35,-68,2022-01-05
40214,Colisión vehículo-vehículo,Automóvil,-35,-68,2022-01-05
40215,Colisión vehículo-vehículo,Automóvil,-33,-69,2022-01-15
40216,Colisión vehículo-vehículo,Automóvil,-33,-69,2022-01-16
40218,Colisión vehículo-objeto,Bicicleta,-34,-69,2022-01-20
40219,Vuelco-despistes,Camioneta,-33,-68,2022-01-24
40220,Colisión vehículo-persona,Sin vehiculo,-33,-69,2022-01-30
40221,Colisión vehículo-vehículo,Bicicleta,-33,-69,2022-02-11
40223,Vuelco-despistes,Camioneta,-33,-69,2022-02-14
40224,Vuelco-despistes,Camioneta,-33,-68,2022-02-16
40225,Colisión vehículo-persona,Sin vehiculo,-33,-68,2022-02-19
40226,Vuelco-despistes,Camioneta,-33,-68,2022-02-20
40228,Colisión vehículo-persona,Sin vehiculo,-33,-69,2022-03-08
40230,Vuelco-despistes,Camión,-33,-68,2022-03-17
40231,Vuelco-despistes,Automóvil,-33,-69,2022-03-19
40232,Colisión vehículo-vehículo,Bicicleta,-35,-68,2022-03-20
40233,Colisión vehículo-persona,Sin vehiculo,-33,-69,2022-03-22
40233,Colisión vehículo-persona,Sin vehiculo,-33,-69,2022-03-22
40234,Vuelco-despistes,Camión,-33,-69,2022-03-22
40236,Vuelco-despistes,Automóvil,-33,-69,2022-03-28
40237,Colisión vehículo-persona,Sin vehiculo,-33,-69,2022-03-14
40243,Colisión vehículo-vehículo,Bicicleta,-35,-68,2022-04-02
40244,Colisión vehículo-persona,Sin vehiculo,-33,-69,2022-04-04
40245,Colisión vehículo-objeto,Automóvil,-33,-69,2022-04-04
40245,Colisión vehículo-objeto,Automóvil,-33,-69,2022-04-04
40246,Vuelco-despistes,Camioneta,-33,-69,2022-04-07
40247,Colisión vehículo-vehículo,Automóvil,-34,-69,2022-04-09
40248,Colisión vehículo-vehículo,Bicicleta,-33,-69,2022-04-13
40249,Colisión vehículo-vehículo,Automóvil,-33,-69,2022-04-13
40250,Colisión vehículo-vehículo,Automóvil,-33,-69,2022-04-19
40251,Colisión vehículo-vehículo,Automóvil,-35,-68,2022-04-18
40251,Colisión vehículo-vehículo,Automóvil,-35,-68,2022-04-18
40252,Colisión vehículo-vehículo,Bicicleta,-34,-69,2022-04-25
40258,Colisión vehículo-persona,Sin vehiculo,-33,-69,2022-05-02
40260,Vuelco-despistes,Automóvil,-33,-68,2022-05-04
40263,Vuelco-despistes,Bicicleta,-33,-69,2022-05-21
40264,Colisión vehículo-persona,Sin vehiculo,-33,-69,2022-05-26
40265,Vuelco-despistes,Automóvil,-33,-69,2022-05-28
40266,Vuelco-despistes,Automóvil,-33,-69,2022-05-29
40273,Colisión vehículo-objeto,Automóvil,-33,-69,2022-06-04
40274,Colisión vehículo-vehículo,Bicicleta,-35,-68,2022-06-04
40275,Colisión vehículo-objeto,Automóvil,-33,-69,2022-06-05
40277,Colisión vehículo-vehículo,Bicicleta,-33,-69,2022-06-06
40278,Colisión vehículo-vehículo,Bicicleta,-33,-69,2022-06-08
40279,Colisión vehículo-vehículo,Bicicleta,-33,-68,2022-06-09
40280,Colisión vehículo-vehículo,Automóvil,-33,-69,2022-06-11
40281,Vuelco-despistes,Camioneta,-33,-68,2022-06-17
40282,Vuelco-despistes,Bicicleta,-33,-69,2022-06-19
40284,Colisión vehículo-objeto,Automóvil,-33,-68,2022-06-28
40285,Colisión vehículo-persona,Sin vehiculo,-33,-69,2022-06-15
40289,Colisión vehículo-vehículo,Motocicleta,-33,-69,2022-07-05
40291,Colisión vehículo-vehículo,Motocicleta,-33,-69,2022-07-08
40292,Colisión vehículo-vehículo,Motocicleta,-33,-69,2022-07-08
